probe_cc,test_type,measurement_date,probe_asn,url_category,measurement_outcome,dns_mismatch_score,http_body_length_diff,tcp_connect_ms,resolver_match,header_mismatch
MM,web_connectivity,2022-01-01 00:00:00.000000,AS48048,COMT,ok,0.0258,1.0837,93.42,1,0
IR,http_header_field_manipulation,2022-01-01 04:22:25.229045,AS1588,HUMR,ok,0.0772,0.628,18.05,0,0
CN,whatsapp,2022-01-01 08:44:50.458091,AS4099,HUMR,anomaly,0.3642,2.1533,185.5,0,1
TR,web_connectivity,2022-01-01 13:07:15.687137,AS38379,ANON,ok,0.1261,0.6266,143.33,1,0
ID,vanilla_tor,2022-01-01 17:29:40.916183,AS51222,LGBT,ok,0.1238,0.4086,33.76,1,0
US,http_header_field_manipulation,2022-01-01 21:52:06.145229,AS41628,ECON,ok,0.0522,0.0663,181.58,1,0
RU,web_connectivity,2022-01-02 02:14:31.374274,AS6970,HUMR,anomaly,0.3284,1.1446,27.89,0,1
IN,web_connectivity,2022-01-02 06:36:56.603320,AS25581,REL,ok,0.1249,0.096,150.31,1,0
RU,whatsapp,2022-01-02 10:59:21.832366,AS25884,REL,ok,0.0889,1.2161,5.0,1,0
CN,dns_consistency,2022-01-02 15:21:47.061412,AS23883,ECON,ok,0.0161,1.3709,305.41,1,1
DE,web_connectivity,2022-01-02 19:44:12.290458,AS42772,LGBT,ok,0.0622,1.1618,86.82,1,0
TR,facebook_messenger,2022-01-03 00:06:37.519503,AS33842,HUMR,ok,0.0037,0.0013,108.39,1,0
RU,tcp_connect,2022-01-03 04:29:02.748549,AS13761,POLR,confirmed,0.4633,0.4002,46.87,1,1
IR,tcp_connect,2022-01-03 08:51:27.977595,AS39530,COMT,confirmed,,0.5455,241.48,0,1
BR,whatsapp,2022-01-03 13:13:53.206641,AS19111,COMT,ok,0.2912,1.0033,390.93,1,0
VN,tcp_connect,2022-01-03 17:36:18.435687,AS41369,COMM,ok,0.123,0.8592,46.58,1,0
IN,web_connectivity,2022-01-03 21:58:43.664732,AS28910,LGBT,ok,0.1111,0.0747,37.45,1,0
EG,dns_consistency,2022-01-04 02:21:08.893778,AS47656,NEWS,ok,0.1809,0.4176,115.09,1,0
IR,whatsapp,2022-01-04 06:43:34.122824,AS41369,ECON,confirmed,0.5965,0.2049,383.65,0,1
IR,web_connectivity,2022-01-04 11:05:59.351870,AS15631,REL,anomaly,0.7464,1.0718,190.36,0,1
BY,web_connectivity,2022-01-04 15:28:24.580916,AS34008,COMM,ok,0.1641,0.0642,489.12,0,0
TR,web_connectivity,2022-01-04 19:50:49.809961,AS53867,NEWS,ok,0.2665,0.5313,229.6,1,0
